ROI_ID,mean_cloud_annual,intra_cloud_annual,elevation,forest_prob,sveg_prob,cropland_prob,builup_prob,snow_prob,water_prob,var_snow_lt_p90,direct_normal_irradiation,total_clear,total_cloud,total_cs,CF_clear,CF_cloud,CF_cs,AC_clear,AC_cloud,AC_cs,LC_clear,LC_cloud,LC_cs,MC_clear,MC_cloud,MC_cs,C_clear,C_cloud,C_cs,geometry
ROI_0001,63.63992978249699,4.704598390135297,451.30229295839405,0.9829937355498859,0,0,0,0.017006264450114057,0,4.5204113519690114,NA,0.5787493242286238,0.5601688697976978,0.26027371963041207,0.34588173150104135,0.4345620499067917,NA,0.9917044838440572,NA,NA,0.06569988476314387,0.6146324587820914,0.3257726896871461,0.0013281618541955832,0.5692847564390021,NA,0.5258564206846645,0.7377197961986384,0.01710826850041084,"c(-69.7852391076367, -49.0079357876583)"
ROI_0002,52.80069126620901,10.267879481311978,1104.4160695832552,1,0,0,0,0,0,2.5547582079215947,5.682357906113601,0.7593032448645514,0.5814247692330118,0.45565513688944276,0.8705432640738426,NA,NA,0.7635579802908674,0.14799959091366907,NA,0.331646244125085,0.4698002949372889,NA,0.8081002736599044,0.6690067236995292,0.6016762951692207,0.3294293081843897,0.9722766886237172,0.728936070854528,"c(-69.960897276824, -42.9105100298963)"
ROI_0004,11.294544358727103,5.0769226133076195,3149.6032240134637,1,0,0,0,0,0,0,9.743370117487984,0.5529210567385634,0.50255266020282,0.11791742228176659,0.0017476340760673565,NA,NA,0.40216615700419633,0.3964825160572639,0.0013091369509326475,0.7673729493937665,0.576837311997338,0.29347056730406884,0.7221475731581165,0.4362262738726472,NA,0.4228779207211201,0.9346519385660447,NA,"c(-68.9544113748911, -22.0211167846177)"
ROI_0005,42.88757305404708,13.174816395138352,17.43102509675503,1,0,0,0,0,0,0,4.633592684187553,0.7146246021449354,0.3650410593343943,0.00802800681668504,0.9999907362875831,NA,NA,0.010885192461384401,0.1282765838871858,NA,0.9053375499004206,0.6031632935340868,0.05894312909861199,0.7313801883947052,0.7170677507735548,NA,0.29168267114432456,0.5010143752172191,NA,"c(-80.4638750867293, -5.98608205016979)"
ROI_0006,18.00893857555584,10.666271825147598,817.5021152078901,0.9991778632937189,0,8.221367062810472e-4,0,0,0,0,6.193032703567692,0.8511664610837839,0.5017614668145004,NA,0.9999768399680401,NA,NA,7.445211713439754e-4,0.31097205460320193,NA,0.940101017289155,0.2921913148703492,NA,0.7521315861218251,0.6025620674643976,NA,0.8649133124618896,0.8692538346232346,NA,"c(-74.9707310162268, -15.1113764790737)"
ROI_0007,16.107263297285364,6.721263517987197,76.75947739740688,1,0,0,0,0,0,0.03406457553454933,7.75123331551305,0.6852831944676465,0.5210922383904076,NA,1,NA,NA,NA,0.40254331788067144,NA,0.7537993213571604,0.12661606595944014,NA,0.4312614985331114,0.493070008515442,NA,0.338831455508452,0.7940716814075882,NA,"c(-114.235763840463, 31.8999946863915)"
ROI_0009,29.712251783893986,5.778960244648318,1661.706713160625,1,0,0,0,0,0,12.985871060378576,6.57963019572202,0.8012372674439255,0.7164111792587508,NA,1,NA,NA,0.8546799707013639,0.10467431553700939,NA,0.8535307429429979,0.6952116754024811,NA,0.6618007000905755,0.8556258730532338,NA,0.11625763131122764,0.6049280752786257,NA,"c(-110.412633035974, 38.4468120218516)"
ROI_0010,24.128846908734054,6.474650392541709,89.80779171434739,1,0,0,0,0,0,0,4.770074697017429,0.5886197589033112,0.7124007973144131,NA,1,NA,NA,NA,0.4381169768143109,NA,0.6330449018348143,0.9130762214168401,NA,0.24933229161068612,0.1665451034812408,NA,NA,0.9646232916315601,NA,"c(-13.5611779589612, 19.3542577356335)"
ROI_0011,18.609771223505664,7.477118986206124,386.27275273741174,1,0,0,0,0,0,0.05364026994481524,5.871298484945493,0.7592024224444559,0.5588863695689715,NA,1,NA,NA,0.9799696005861716,0.7844776763939078,NA,0.580288679332322,0.7500402215703407,NA,NA,0.4186818162155345,NA,0.39525745490887165,NA,NA,"c(3.33977971800931, 30.4716146039814)"
ROI_0012,21.194576064007116,13.045749527725304,134.08782173484036,1,0,0,0,0,0,0,5.938890415594402,0.8712019387177127,0.7030435878483471,NA,0.9993598629426605,NA,NA,0.298087611601804,0.5766555942585333,NA,0.9190201429990519,0.8160492753227043,NA,0.8703283143638469,0.7066171134841975,NA,0.05557600667290243,0.792706410172044,NA,"c(22.5000104927773, 31.0753983541905)"
