ROI_ID,total_clear,total_cloud,total_cs,CF_clear,CF_cloud,CF_cs,AC_clear,AC_cloud,AC_cs,LC_clear,LC_cloud,LC_cs,MC_clear,MC_cloud,MC_cs,C_clear,C_cloud,C_cs
ROI_0001,0.5787493242286238,0.5601688697976978,0.26027371963041207,0.34588173150104135,0.4345620499067917,NA,0.9917044838440572,NA,NA,0.06569988476314387,0.6146324587820914,0.3257726896871461,0.0013281618541955832,0.5692847564390021,NA,0.5258564206846645,0.7377197961986384,0.01710826850041084
ROI_0002,0.7593032448645514,0.5814247692330118,0.45565513688944276,0.8705432640738426,NA,NA,0.7635579802908674,0.14799959091366907,NA,0.331646244125085,0.4698002949372889,NA,0.8081002736599044,0.6690067236995292,0.6016762951692207,0.3294293081843897,0.9722766886237172,0.728936070854528
ROI_0004,0.5529210567385634,0.50255266020282,0.11791742228176659,0.0017476340760673565,NA,NA,0.40216615700419633,0.3964825160572639,0.0013091369509326475,0.7673729493937665,0.576837311997338,0.29347056730406884,0.7221475731581165,0.4362262738726472,NA,0.4228779207211201,0.9346519385660447,NA
ROI_0005,0.7146246021449354,0.3650410593343943,0.00802800681668504,0.9999907362875831,NA,NA,0.010885192461384401,0.1282765838871858,NA,0.9053375499004206,0.6031632935340868,0.05894312909861199,0.7313801883947052,0.7170677507735548,NA,0.29168267114432456,0.5010143752172191,NA
ROI_0006,0.8511664610837839,0.5017614668145004,NA,0.9999768399680401,NA,NA,7.445211713439754e-4,0.31097205460320193,NA,0.940101017289155,0.2921913148703492,NA,0.7521315861218251,0.6025620674643976,NA,0.8649133124618896,0.8692538346232346,NA
ROI_0007,0.6852831944676465,0.5210922383904076,NA,1,NA,NA,NA,0.40254331788067144,NA,0.7537993213571604,0.12661606595944014,NA,0.4312614985331114,0.493070008515442,NA,0.338831455508452,0.7940716814075882,NA
ROI_0009,0.8012372674439255,0.7164111792587508,NA,1,NA,NA,0.8546799707013639,0.10467431553700939,NA,0.8535307429429979,0.6952116754024811,NA,0.6618007000905755,0.8556258730532338,NA,0.11625763131122764,0.6049280752786257,NA
ROI_0010,0.5886197589033112,0.7124007973144131,NA,1,NA,NA,NA,0.4381169768143109,NA,0.6330449018348143,0.9130762214168401,NA,0.24933229161068612,0.1665451034812408,NA,NA,0.9646232916315601,NA
ROI_0011,0.7592024224444559,0.5588863695689715,NA,1,NA,NA,0.9799696005861716,0.7844776763939078,NA,0.580288679332322,0.7500402215703407,NA,NA,0.4186818162155345,NA,0.39525745490887165,NA,NA
ROI_0012,0.8712019387177127,0.7030435878483471,NA,0.9993598629426605,NA,NA,0.298087611601804,0.5766555942585333,NA,0.9190201429990519,0.8160492753227043,NA,0.8703283143638469,0.7066171134841975,NA,0.05557600667290243,0.792706410172044,NA
ROI_0013,0.6912344990955204,0.5349390689304495,NA,0.9703989311012426,NA,NA,NA,0.5200535923012498,NA,0.7169759101114713,0.47555061040752356,NA,0.8016866544665383,0.6492089974102506,NA,0.3526548397967428,0.5119290003176509,NA
ROI_0014,0.825808763491424,0.7528149536974312,NA,0.9999953681938505,NA,NA,0.9246354522217252,0.6221743129190025,NA,0.5983999180549471,0.7396028892256301,NA,0.6855085548982383,0.6990705242469039,NA,0.8050401489120544,0.8148549505408323,NA
ROI_0016,0.6259094188590275,0.6150488351451351,0.0042970003761113205,0.0016449504520856877,NA,NA,0.8929464031608813,0.19401933919123499,0.03717189098707837,0.8250895739181274,0.9344893366608583,NA,0.4728966705610911,0.8058476259227593,NA,0.5709091604595277,0.831951628598315,NA
ROI_0017,0.9017122898238252,0.7875252479059249,NA,1,NA,NA,0.9777728248116977,NA,NA,0.9673249848959081,0.3948805471077124,NA,0.7776609422056526,0.09439899355233952,NA,0.6658051968965427,0.9420867996817867,NA
ROI_0018,0.8750910405616358,0.5349784026009373,NA,0.9999953681938505,NA,NA,0.9615290838028978,0.061044441820325014,NA,0.8947504139932205,0.006550372864049354,NA,0.9000786504768563,0.5387388865740407,NA,0.4393228259693166,0.6715456310876233,NA
ROI_0019,0.698962620292615,0.7303095069801072,NA,1,NA,NA,0.9856614370761043,0.7346736175990389,NA,NA,0.6225474347754952,NA,0.12542377687663703,0.7854368019929724,NA,0.06396465605680621,0.8444515422623752,NA
ROI_0020,0.9260587422049519,0.7687448546857237,NA,1,NA,NA,0.9027339053598916,0.2660333766903377,NA,0.95207519494132,0.824648866500449,NA,0.8119565383036156,0.6665854988023892,NA,0.42716015292815657,0.9038555539535645,NA
ROI_0021,0.77620932415502,0.6824270811710306,0.0021837268014263398,1,NA,NA,0.8190439969463714,0.5251253216428268,NA,0.03158186546515731,0.3310758127408595,NA,0.11900145014492311,0.9192010038430569,NA,0.638465059907832,0.9499433678985703,0.0032402115233851037
ROI_0022,0.6523381447771665,0.7383356280793538,0.2639412667866902,1,NA,NA,0.7275875087973066,0.8049682586723383,0.6479658663883774,0.4803371999650452,0.7916488546189906,NA,0.054271249319222135,0.6664244341733362,NA,0.5006457614942044,0.6668674479935377,NA
